Modo de trabalho,Tecnologias,Descrição,Localização,Data de publicação,Empresa,Tipo de contrato,Link,Categoria,Título,Seniority
Presencial,"Agile, JavaScript, React, TypeScript, Vue","Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. This project is part of the business investment banking and financial services area, and currently has its technological hub in Porto and is working on the development of innovative solutions and support for all operations related to the business. We are looking for a Full Stack Developer to work in this project in Porto (Hybrid). Requirements: - 3-6 years of experience as a Full Stack Developer in an agile environment; -Bachelor's degree in Computer Science, Information Systems or similar; -Experience with Frontend Technologies: Vue.js, Nuxt, React; -Experien...",Porto,13 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504498/full-stack-developer,Frontend,Full Stack Developer,N/A
Presencial,"DevOps, Git, Machine Learning, TypeScript","Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. Here you will work in the development of high-tech systems integration services in areas such as digital transformation and network automation for different sectors of activity, but in particular for telecommunications. We are looking for a Site Reliability Engineering | CI/CD DevOps for a long term role in this project in Lisbon or Porto (flexible hybrid). As a part of your job, you will: Design, implement and maintain CI/CD pipelines using multiple tools; Automate build, test, and deployment processes; Implement logging and monitoring solutions to ensure vis...","Lisboa, Porto",13 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504499/site-reliability-engineering-ci-cd-devops,Data Science,Site Reliability Engineering | CI/CD DevOps,C-Level
Presencial,".NET, Angular, JavaScript, Machine Learning, React, Scala","At Fyld, we believe the future is built with people, technology, and strong values. We are a Portuguese consulting company that operates with transparency, respect, and a focus on everyone’s growth. Here, every project is an opportunity to build real, lasting, and scalable solutions. Our philosophy? Code for Big Solutions — because we don’t just code to make things work, we code to transform. By joining Fyld, you’ll be part of a team where every member is challenged to innovate, collaborate and grow. We are looking for our next ..NET Developer (fullstack): Degree in Computer Engineering or a similar field; 3/4 years of professional experience in fullstack development; Experience with .NET Core or .NET Framework (.NET 5/6 versions); Experience with Angular and/or React, JavaScript, HTML, CS...",Lisboa,13 de Outubro de 2025,Fyld,Contrato sem termo,https://www.itjobs.pt/oferta/505776/net-developer-fullstack,Frontend,.NET Developer (fullstack),N/A
Presencial,"Angular, Java, JavaScript, Machine Learning, Node.js, React, Spring","A área de Desenvolvimento Web é responsável pelo desenho, desenvolvimento e deployment de soluções Rich Web Applications . As responsabilidades desta área vão desde a definição de requisitos da aplicação, passando pela arquitetura, modelo de dados e escolha da tecnologia web adequada para a implementação da solução final. A principal stack tecnológica é baseada em Java e JavaScript para camadas de backend e middleware (ex: Spring, Node.js) . Frameworks baseadas em JavaScript, como Angular e React, são utilizadas para desenvolvimento de frontend. Quais as principais responsabilidades? Enquanto Full Stack Developer serás responsável pelo desenvolvimento end-to-end de requisitos aplicacionais . Irás participar na estruturação central da aplicação bem como no planeamento da user interface, apr...","Lisboa, Braga",13 de Outubro de 2025,Xpand IT,Full-time,https://www.itjobs.pt/oferta/505763/full-stack-developer,Frontend,Full Stack Developer,Lead
Remoto,"Angular, JavaScript, Node.js, Scala, TypeScript","Angular & Node.js Developer Are you a Angular & Node.js enthusiast looking for your next challenge in a dynamic, young, and tech-driven environment? Join our team! At ACENSI Portugal, we’re a fast-growing company based in Lisbon, and we’re on the lookout for a talented Angular & Node.js Developer to help us build the future. We are passionate about technology, innovation, and creating great solutions for our customers. What You’ll Do: • Design and develop scalable and efficient backend solutions using Angular and Node.js • Collaborate with a dynamic team of developers, designers, and product owners • Work on exciting projects with the latest technologies • Contribute to code reviews and share your expertise What We’re Looking For: • 3+ years of experience with Node.js • Strong knowledge of...","Lisboa, Setúbal",13 de Outubro de 2025,ACENSI,Contrato sem termo,https://www.itjobs.pt/oferta/505774/angular-node-js-developer,Frontend,Angular & Node.js Developer,Senior
Remoto,AWS,"A Noesis procura um(a) especialista em segurança na cloud, que colaborará com diversas equipas de TI para desenvolver e manter um ambiente de cloud híbrida seguro. Responsabilidades Chave: Implementação da infraestrutura cloud híbrida do cliente, tanto na AWS como na cloud privada, de acordo com um projeto detalhado de cloud e princípios de computação confidencial. Configuração de VPCs definidas, tráfego de entrada e saída controlado, uma abordagem orientada por políticas e código e monitorização contínua com mecanismos de deteção e resposta. Aplicar e desenvolver princípios de segurança em cloud na organização, em colaboração com administradores, especialistas e clientes. Colaborar com a equipa de plataforma de cloud e com a equipa de arquitetura empresarial para definir diretrizes e padr...",N/A,13 de Outubro de 2025,Noesis Portugal,Full-time,https://www.itjobs.pt/oferta/505783/cloud-security-specialist,Mobile,Cloud Security Specialist,Senior
Presencial,"JIRA, Machine Learning, Python, SQL, TypeScript","WE DEVELOP PEOPLE WHO DEVELOP TECHNOLOGY And we want to develop you! At Growin people always come first. Why? Because we believe happy, talented people are the ones who can change the world: one code line at a time. We have several projects waiting for you all over Portugal - both hybrid and full remote - where you can grow professionally and take your career to the next level. Are you a savvy Functional Tester seeking a new challenge in a dynamic team? We want to know more about you! Tell us about your: experience in designing, implementing and conducting test experience in evaluating procedures to ensure systems requirements are met experience in writing implements and reports for systems test cases for testing experience in working with SQL and Jira experience in analysing test cases an...","Lisboa, Porto, Braga, Aveiro",13 de Outubro de 2025,Growin - Know to grow,Contrato sem termo,https://www.itjobs.pt/oferta/505766/qa-analyst,QA,QA Analyst,N/A
Presencial,"AWS, DevOps, Kubernetes, Machine Learning","Sobre a YellowIpe Nossa missão é inspirar a conexão da tecnologia com as pessoas. Fomentamos o melhor de nossos profissionais através de nossa expertise em encontrar e atrair os melhores talentos para os melhores projetos. O Foco nas Pessoas, Colaboração e Comprometimento são os pilares que nos guiam nessa trajetória. Junte-se à equipa amarela como nosso novo Kubernetes Engineer! Procuramos um responsável técnico pela implementação de projetos na área de automação de infraestrutura, incluindo comunicação e orquestração de implementação com o cliente final. Requisitos: Curso superior em Eng. Informática ou similar; Experiência de pelo menos 5 anos em projetos de devops; Experiência na instalação e configuração de kubernetes; Experiência em pelo menos uma cloud pública (preferência AWS); Exp...",N/A,13 de Outubro de 2025,YellowIpe,N/A,https://www.itjobs.pt/oferta/505768/kubernetes-engineer,Data Science,Kubernetes Engineer,Senior
Remoto,Rust,"Project Manager There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s create our future together. Must-Have: At least 5 years of experience as a project man...",Lisboa,13 de Outubro de 2025,GRiT Solutions,Full-time,https://www.itjobs.pt/oferta/505686/project-manager,Product Management,Project Manager,Manager
Presencial,"Machine Learning, TypeScript","We are looking for a Data Analyst to work in Lisbon who's eager to embark on an exciting new opportunity!  Apply here <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What is this challenge about Data exploration to find business value; Defining business monitoring KPIs for product evolution; Developing data solutions and creating and maintaining dashboards/reports. Does it sound exciting? Apply now! <endereço ocultado> What we are looking for At least 3 years of experience in similar roles; Experience in data analysis, defining KPIs, and developing rep...",Lisboa,13 de Outubro de 2025,KWAN,Full-time,https://www.itjobs.pt/oferta/505530/data-analyst,Data Science,Data Analyst,Senior
Remoto,"Git, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...",Lisboa,13 de Outubro de 2025,Neotalent Conclusion,Contrato sem termo,https://www.itjobs.pt/oferta/505476/pmo,Backend,PMO,Senior
Presencial,".NET, Machine Learning, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - Experiência em tecnologias .NET: .NET Framework, .NET Core e .NET 6+; - Experiênc...",Lisboa,13 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505439/net-developer,Data Science,.NET Developer,Senior
Presencial,"Machine Learning, TypeScript","Seeking an AI Engineer: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life because the ...",Porto,13 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504709/ai-engineer,Data Science,AI Engineer,C-Level
Presencial,"Azure, Machine Learning, Python, SQL, TypeScript","Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. In this project you’ll contact with the European stock market area. Despite its development center being located in Porto and all administrative support in Lisbon, you will be part of a multicultural team that is spread across several European cities. We are seeking an Azure AI Engineer to join our team in Porto (hybrid model) . Requirements: - University degree in Computer Science, Software Engineering or similar; - 3+ years of experience with Azure; - Experience with Python, SQL and non-relational databases; - Hands-on experience with Azure AI services (Sear...",Porto,13 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504500/azure-ai-engineer,Data Science,Azure AI Engineer,Mid-level
Remoto,"AWS, Machine Learning, TypeScript","Your connection with Aubay starts in the following lines: Aubay Portugal is a multinational French company, in Portugal since 2007. We have offices in Lisbon and Oporto and we are a specialized consultant in Management, Implementation, Development and Maintenance of Information Systems. We have more than 150 active partners and we operate in sectors such as banking, insurance, telecommunications, services, energy and transports. What are we looking for? Bachelor’s Degree in Computer Engineering, Information Systems, or related; +5 years of experience in cloud cost monitoring, analysis, or FinOps roles; Strong understanding of AWS cloud platform and pricing models; Experience with Cloud Services such as SaaS, PaaS, and IaaS; Proficiency in monitoring and reporting tools, preferably DataDog ...",N/A,13 de Outubro de 2025,Aubay,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/505733/finops-engineer-based-in-portugal,Data Science,FinOps Engineer,C-Level
Presencial,"Data Science, Machine Learning, Power BI","A equipa de Business Intelligence & Analytics tem como objetivo assegurar que as organizações conseguem obter mais valor dos seus dados e se tornam verdadeiramente data-driven. Implementamos soluções de business intelligence end-to-end, tirando partido nas nossa parcerias tecnológicas com a Microsoft, Tableau e Hitachi onde nos especializamos. Para assegurar excelentes resultados trabalhamos sempre próximo dos clientes percebendo o seu negócio e requisitos e aumentando o impacto positivo. Na Xpand IT, desenvolvemos soluções de software de Business Intelligence para diversos setores de atividade: Energia, Telecomunicações, Automóvel e Transportes, usando, entre outras tecnologias, a stack Microsoft para cadeias complexas de ETL e o Power BI para a criação de dashboards e relatórios de últim...","Lisboa, Braga",13 de Outubro de 2025,Xpand IT,Full-time,https://www.itjobs.pt/oferta/505764/data-analytics-consultant,Mobile,Data Analytics Consultant,C-Level
Presencial,"Machine Learning, Python, TypeScript","WE DEVELOP PEOPLE WHO DEVELOP TECHNOLOGY And we want to develop you! At Growin people always come first. Why? Because we believe happy, talented people are the ones who can change the world: one code line at a time. We have several projects waiting for you all over Portugal - both hybrid and full remote - where you can grow professionally and take your career to the next level. Are you a savvy IT Helpdesk seeking a new challenge in a dynamic team? We want to know more about you! Tell us about your: experience in service desk or helpdesk in a fast-paced environment background in Computer Information Systems experience in MAC and Windows configurations experience in Google Suite, Atlassian products experience in conferencing technologies is a plus ability to adapt quickly to IT fundamentals ...","Lisboa, Porto",13 de Outubro de 2025,Growin - Know to grow,Contrato sem termo,https://www.itjobs.pt/oferta/505767/it-helpdesk,Data Science,IT Helpdesk,N/A
Remoto,"Java, Machine Learning, R, TypeScript","Com mais de 8 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço: Strategy (Outsourcing, Team as a Service, Tech Academies); R&D (Estágios, POC, Laboratório Tecnológico); Nearshore. Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional: Equilíbrio entre a vida profissional e pessoal; Flexibilidade na rotina organizacional; Benefícios de saúde para colaboradores e familiares; Eventos Team Building; Protocolo com mais de 300 parceiros; Formação contínua através de um centro profissional de formação e certificação; Acompanhamento e feedback contínuo através de um plano personalizado; Progressão de carreira através de avaliações objetivas e diretas. IMPORTANTE: Exige-se fluência em p...",Porto,13 de Outubro de 2025,Adentis,Contrato sem termo,https://www.itjobs.pt/oferta/505748/java-developer,Mobile,Java Developer,N/A
Presencial,"Docker, Jenkins, Kubernetes, Machine Learning, Scala, TypeScript","Your connection with Aubay starts in the following lines: Aubay Portugal is a multinational French company, in Portugal since 2007. We have offices in Lisbon and Oporto and we are a specialized consultant in Management, Implementation, Development and Maintenance of Information Systems. We have more than 150 active partners and we operate in sectors such as banking, insurance, telecommunications, services, energy and transports. What are we looking for? Bachelor’s degree in Computer Science, Information Systems, or related field; Professional experience in Scala and functional software development; Experience with API design; Experience with microservice architectures; Knowledge of Akka, Cats, FS2, Kafka, Docker, Kubernetes and Jenkins; Professional experience in the financial industry; Fa...",Lisboa,13 de Outubro de 2025,Aubay,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/505720/scala-developer,Data Science,Scala Developer,C-Level
Presencial,Rust,"Nearshore Business Manager Lead with Vision: Business Manager Wanted! There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s create our future together. Job ...",Lisboa,13 de Outubro de 2025,GRiT Solutions,Full-time,https://www.itjobs.pt/oferta/505672/nearshore-business-manager,UX/UI Design,Nearshore Business Manager,Manager
Remoto,"API REST, Machine Learning","Estamos à procura de um Backend Developer para trabalhar em Lisboa, pronto para abraçar um novo desafio! Candidata-te aqui: <endereço ocultado> Sobre a KWAN Ligamos profissionais de IT a projetos que correspondem às suas competências, experiência profissional e objetivos. Além disso, oferecemos um programa de progressão de carreira, conduzido por especialistas internos – os nossos People Experience Partners – que te acompanham ao longo do percurso connosco. Em que consiste este desafio Desenvolver, configurar e manter portais e aplicações baseadas na plataforma Liferay 7.x; Criar e manter pipelines de CI/CD, assegurando a automação e a eficiência dos processos de integração e deployment; Implementar serviços e integrações utilizando protocolos SOAP e REST; Colaborar com equipas de análise ...",N/A,13 de Outubro de 2025,KWAN,Contrato sem termo,https://www.itjobs.pt/oferta/505542/java-developer-c-liferay,Backend,Backend Developer (c/Liferay),Senior
Remoto,"Git, Machine Learning, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...",Lisboa,13 de Outubro de 2025,Neotalent Conclusion,Contrato sem termo,https://www.itjobs.pt/oferta/505477/ai-engineer,Data Science,AI Engineer,Senior
Remoto,"Machine Learning, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - +5 anos de experiência em projetos de implementação de soluções de Inteligência A...",N/A,13 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505430/consultor-senior-inteligencia-artificial,Data Science,Consultor Sénior Inteligência Artificial,Senior
Presencial,"Java, TypeScript","Seeking a Java Developer with PIM  : Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life...",Porto,13 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504710/java-developer-with-pim,Infrastructure,Java Developer with PIM,C-Level
Presencial,TypeScript,"Seeking a Senior Data Solutions Architect: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professiona...",Porto,13 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504720/senior-data-solutions-architect,Infrastructure,Senior Data Solutions Architect,C-Level
Presencial,N/A,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é conseguirmos ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro dos seus interesses, motivações e expectativas. A área das telecomunicações está em constante evolução. Se também gostarias de fazer parte deste movimento, este projeto poderá ser do teu interesse, já que aqui terás a possibilidade de contactar com um dos líderes na criação e distribuição de soluções fixas e móveis de televisão, internet, voz e dados a nível nacional. Procuramos um Técnico de Suporte de Telecomunicações para um projeto em regime de trabalho hibrido para Lisboa . Requisitos : - Formação profissional de telecomunicações, ou similar; - Conhecimentos/Experiência em ...",Lisboa,13 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504673/tecnico-de-suporte-de-telecomunicacoes,UX/UI Design,Técnico de Suporte de Telecomunicações,Junior
Presencial,"API REST, Angular, TypeScript","Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet with their needs and expectations. This project is for the telecommunications and business development sector. Here you will contact with the development of products and services focused on real needs in areas such as connectivity, operations support systems, service platforms, among others. If you've always been interested in the telecom area and would like to, not only to see it up close, but also to contribute to the development of the most innovative products and services in the field, this is the project for you. We are hiring a Frontend Developer (Angular) for this project in Aveiro ...",Aveiro,13 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504674/frontend-developer-angular,Frontend,Frontend Developer (Angular),C-Level
Presencial,"Azure, Machine Learning","A Noesis procura um(a) Arquiteto(a) de Soluções/Aplicações experiente para liderar tecnicamente a migração de um vasto portfólio de aplicações on-premise para a Microsoft Azure Cloud. O profissional ideal combina uma forte visão técnica em arquitetura de sistemas com capacidade de gestão e coordenação (atuando também como Technical Project Manager), sendo o ponto focal entre equipas de desenvolvimento, infraestrutura, fornecedores e fabricantes de software. Responsabilidades Chave: Estratégia de Migração: Definição da melhor estratégia de migração para cada aplicação (rehosting, replatforming, refactoring), interagindo com stakeholders (internos e externos) para delinear soluções target em Azure (IaaS, PaaS, Containers, App Services, AKS, Azure Functions, etc.). Avaliação e Planeamento: Co...","Lisboa, Porto, Coimbra",12 de Outubro de 2025,Noesis Portugal,Contrato sem termo,https://www.itjobs.pt/oferta/505745/arquiteto-de-solucoes-aplicacoes-cloud-migration,Data Science,Arquiteto de Soluções/Aplicações & Cloud Migration,C-Level
Remoto,"Angular, Machine Learning, R, TypeScript","Com mais de 8 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço: Strategy (Outsourcing, Team as a Service, Tech Academies); R&D (Estágios, POC, Laboratório Tecnológico); Nearshore. Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional: Equilíbrio entre a vida profissional e pessoal; Flexibilidade na rotina organizacional; Benefícios de saúde para colaboradores e familiares; Eventos Team Building; Protocolo com mais de 300 parceiros; Formação contínua através de um centro profissional de formação e certificação; Acompanhamento e feedback contínuo através de um plano personalizado; Progressão de carreira através de avaliações objetivas e diretas. IMPORTANTE: Exige-se fluência em p...",Porto,12 de Outubro de 2025,Adentis,Contrato sem termo,https://www.itjobs.pt/oferta/505750/angular-developer,Frontend,Angular Developer,N/A
Remoto,"API REST, AWS, Angular, Azure, Google Cloud, JavaScript, Machine Learning, TypeScript","Fundada em 2005, em Lisboa, a agap2IT é uma organização europeia na área dos Sistemas de Informação, Ciência e Tecnologia. A capacidade de intervir globalmente aliada à elevada experiência e know-how técnico, funcional e de negócio da equipa, garantem a excelência da resposta aos mais exigentes desafios. Com o espírito agapiano e valores como a valorização humana, empreendedorismo e responsabilidade social, mais do que um projeto, terás a oportunidade de criares uma carreira à tua medida. Descrição do perfil: - Licenciatura em Engenharia Informática ou similar; - Experiência de 5+ anos com Angular+; - Conhecimentos sólidos de Javascript e/ou Typescript; - Domínio de Web Services, REST APIs; - Experiência em ambiente Cloud (AWS, Azure, GCP) é valorizado; - Experiência em ambiente CI/CD; - C...",Porto,12 de Outubro de 2025,agap2IT,Contrato sem termo,https://www.itjobs.pt/oferta/505708/angular-developer,Frontend,Angular Developer,N/A
Remoto,"Machine Learning, Rust","Data Engineer - Senior Databricks Engineer Building Data Highways: Data Engineer Position Available! There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s c...",Lisboa,12 de Outubro de 2025,GRiT Solutions,Full-time,https://www.itjobs.pt/oferta/505687/data-engineer-senior-databricks-engineer,Data Science,Data Engineer - Senior Databricks Engineer,Senior
Presencial,"Machine Learning, TypeScript","We are looking for a GenAI Engineer to work in Lisbon who's eager to embark on an exciting new opportunity!  Apply here <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What is this challenge about Define and optimize generative AI models for different business scenarios; Train and validate GenAI models, ensuring their performance; Implement GenAI solutions on cloud platforms, ensuring their efficiency; Contribute to the continuous improvement of analytical processes through GenAI integration; Autonomous development of GenAI-based applications (OpenAI, ...",Lisboa,12 de Outubro de 2025,KWAN,Full-time,https://www.itjobs.pt/oferta/505531/gen-ai-engineer,Mobile,Gen AI Engineer,Senior
Remoto,"Git, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...",Lisboa,12 de Outubro de 2025,Neotalent Conclusion,Full-time,https://www.itjobs.pt/oferta/505390/it-project-manager,Product Management,IT Project Manager,Manager
Remoto,".NET, Machine Learning, SharePoint, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - Licenciatura e/ou Mestrado em Engenharia Informática ou similar; - +3 anos de exp...",N/A,12 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505352/net-sharepoint-developer,Data Science,.NET/Sharepoint Developer,Senior
Presencial,TypeScript,"Seeking a Mid QA Analyst w/French: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life b...",Porto,12 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504701/mid-qa-analyst-w-french,QA,Mid QA Analyst w/ French,C-Level
Presencial,Machine Learning,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro dos seus interesses, motivações e expectativas. Connosco irás contactar diretamente com um projeto da área da banca portuguesa de referência, com um grande posicionamento na área de empresas e retalho. Aqui poderás fazer parte de uma equipa dinâmica, diversa, transparente e com uma abordagem focada no cliente. Procuramos um(a) Analista Cobol para este projeto na área da banca , em Oeiras . Requisitos: - Programação de software com base em documentos de análise técnica; - Elaboração de cadernos de testes unitários e execução dos mesmos; - Análise técnica com base em especificações funcionais;...",Lisboa,12 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504501/analista-mainframe-cobol,Mobile,Analista Mainframe COBOL,N/A
