Empresa,Modo de trabalho,Seniority,Descrição,Tecnologias,Categoria,Tipo de contrato,Link,Título,Data de publicação,Localização
Dellent,Presencial,Senior,"Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. This project is part of the business investment banking and financial services area, and currently has its technological hub in Porto and is working on the development of innovative solutions and support for all operations related to the business. We are looking for a Senior IT HR Application Support to work in this project in Porto (Hybrid) . What are we looking for? -More than 9 years of experience in HR Support; -Having QA and Data Quality knowledge are a plus; -Having knowledge of HR procedures is a plus, particularly in talent management; -Experience in s...",TypeScript,QA,Full-time,https://www.itjobs.pt/oferta/504902/senior-it-hr-application-support,Senior IT HR Application Support,17 de Outubro de 2025,Porto
Dellent,Presencial,Junior,"Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. If you enjoy the thrill of the challenges that Digital Transformation and Energy Transition bring to companies, this project may be interesting to you. Here you will be able to work with the development of personalized services and end-to-end solutions. We are looking for a SAP Functional Consultant for a long term role in this hybrid project in Lisbon or Porto. Responsibilities: - Act as functional consultant for QM, WM, PDM, and GTS modules in an international S/4HANA environment; - Support rollout projects: gather and understand business requirements, defin...","API REST, Git, TypeScript",ERP/CRM,Full-time,https://www.itjobs.pt/oferta/504904/sap-functional-consultant,SAP Functional Consultant,17 de Outubro de 2025,"Lisboa, Porto"
We Are Meta,Presencial,C-Level,"Seeking a Business Analyst (French Speaker): Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professio...",TypeScript,Infrastructure,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504852/it-business-analyst-french-speaker,IT Business Analyst (French Speaker),17 de Outubro de 2025,Porto
We Are Meta,Presencial,C-Level,"Seeking an ITX Dev/Support: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life because ...",TypeScript,Infrastructure,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504850/dev-support-para-itx,ITX Dev/Support,17 de Outubro de 2025,"Lisboa, Porto"
Neotalent Conclusion,Remoto,Senior,"Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...","Git, Python, TypeScript",Software Development,Contrato sem termo,https://www.itjobs.pt/oferta/505870/mulesoft-developer,MuleSoft Developer,17 de Outubro de 2025,Lisboa
Integer Consulting,Presencial,Senior,"A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este Pode Ser o Desafio Perfeito, Se Tiveres Licenciatura na área de IT Mais de 3 anos de experiência como data engineer Mais de ...","Machine Learning, TypeScript",Data Science,Full-time,https://www.itjobs.pt/oferta/505806/data-engineer,Data Engineer,17 de Outubro de 2025,"Lisboa, Coimbra, Braga"
Toogas,Remoto,Senior,"Desde 2008, a Toogas é especialista em criar e otimizar plataformas de Ecommerce. Contamos com centenas de clientes globais e ambicionamos ser o melhor parceiro tecnológico para implementações de comércio eletrónico. Qual o desafio que te propomos: Compreender as necessidades do cliente e definir os requisitos técnicos e funcionais do projeto. Planear e gerir o desenvolvimento de projetos de ecommerce assegurando prazos, qualidade e satisfação do cliente. Criação das user stories e gestão do backlog. Configurar e personalizar as plataformas de ecommerce. Testar as funcionalidades do projeto para garantir a qualidade dos projetos. Ministrar formação e suporte aos utilizadores finais Elaborar documentação técnica e funcional detalhada. Mitigar riscos e garantir o sucesso das implementações d...",Machine Learning,QA,Full-time,https://www.itjobs.pt/oferta/505982/e-commerce-consultant-product-owner,E-commerce Consultant & Product Owner,17 de Outubro de 2025,Porto
Dellent,Presencial,N/A,"Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. If you enjoy the thrill of the challenges that Digital Transformation and Energy Transition bring to companies, this project may be interesting to you. Here you will be able to work with the development of personalized services and end-to-end solutions. We are looking for a SAP FrontEnd Developer for a long term role in this hybrid project in Lisbon or Porto. Responsibilities: - Develop and enhance applications using SAPUI5 / Fiori; - Support corrective and evolutive maintenance of existing Fiori applications; -Collaborate with functional and technical teams t...","API REST, Git, Machine Learning, TypeScript",Frontend,Full-time,https://www.itjobs.pt/oferta/504930/sap-frontend-developer,SAP FrontEnd Developer,17 de Outubro de 2025,"Lisboa, Porto"
We Are Meta,Presencial,C-Level,"Seeking a Back-End: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life because the well...",TypeScript,Backend,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504848/back-end-developer,Back-End Developer,17 de Outubro de 2025,Porto
Uniksystem - Sistemas de Informação,Presencial,Senior,"Full Stack Software Developer (Java) Location: Carnaxide, Lisbon, Portugal, Occupation: Full time Min. Experience: 2 years ++ What do we need? Unik’s technology team is looking for a highly motivated individual who is passionate about our mission and is skilled in Software Development with Java (full stack). You will collaborate with the tech team and functional leads (both inside and outside of the company) to implement and deliver software solutions for our products and projects. Job opening: [Junior, Mid-level or Specialist]. Two Open positions. Who We Are: Unikystem is a Low-code BPM Automation platform Boosted by Cognitive Data Capture with 100% accuracy, that turns any unstructured text data into business-critical information. We serve B2B Enterprise, targeting Industry, Financial Se...","Java, TypeScript",Fullstack,Contrato sem termo,https://www.itjobs.pt/oferta/505981/full-stack-software-developer-java,Full Stack Software Developer (Java),17 de Outubro de 2025,Lisboa
Growin - Know to grow,Presencial,N/A,"WE DEVELOP PEOPLE WHO DEVELOP TECHNOLOGY And we want to develop you! At Growin people always come first. Why? Because we believe happy, talented people are the ones who can change the world: one code line at a time. We have several projects waiting for you at Oporto - hybrid - where you can grow professionally and take your career to the next level. Are you a savvy .NET Developer seeking a new challenge in a dynamic team of developers? We want to know more about you! Tell us about your: • experience in creating and optimizing web-based Microsoft apps • experience in implementing in C#.NET and Blazor • experience in using Entity Framework, Core and Web API • experience in mobile development using Maui • skills using SQL Server • experience with cloud (Azure, AWS or Google Cloud) We’ve got y...",".NET, AWS, Azure, C#, Google Cloud, Machine Learning, Python, SQL, SQL Server, TypeScript",Frontend,Contrato sem termo,https://www.itjobs.pt/oferta/505977/backend-developer-net-maui-developer,Backend Developer  - .NET & Maui Developer,17 de Outubro de 2025,"Porto, Braga"
